stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
1413,201703,1.69,-0.63,-0.17,-0.94,131.12,66.44,0.33,3.23,-0.05,5.84,.,1.03,0.32
1414,201703,9.07,0.59,-0.03,-0.11,87.68,35.04,0.05,2.48,-0.02,13.93,449.13,0.47,1.37
1416,201703,27.11,8.64,1.49,2.8,159.04,50.11,0.1,13.77,0.76,24.35,8.07,1.23,2.27
1417,201703,14.32,-19.84,-2.73,-3.67,256.79,24.35,0.12,2.81,-0.37,9.88,.,0.56,0.78
1418,201703,-3.33,-12.1,-3.02,-21.19,39.85,86.12,0.24,26.61,-1.08,2.01,.,3.37,0.51
1419,201703,15.48,-10.1,-0.39,-0.69,61.55,36.2,0.03,2.19,-0.17,26.12,132.4,1.57,8.83
1423,201703,2.43,-3.6,0.21,0.23,6883.93,8.13,0.05,4.14,0.03,14.76,.,0.5,2.02
1432,201703,89.41,-10.92,-0.69,-3.39,67.28,68.3,0.04,7.59,-0.46,11.93,.,1.3,2.23
1434,201703,13.89,7.51,0.6,0.74,245.79,25.01,0.11,1.94,0.26,38.19,12.53,0.85,1.38
1435,201703,92.54,-10.06,-0.1,-0.11,8817.23,15.5,0.01,7.06,-0.01,7.45,558.18,0.88,25.59
1436,201703,22.57,14.22,0.72,1.31,226.88,64.2,0.06,237.82,0.4,30.52,23.66,1.26,1.79
1437,201703,74.31,60.4,1.59,2.62,56.41,44.75,0.02,6.36,0.69,26.43,15.81,0.71,6.24
1438,201703,-557.14,-32157.1,-0.25,-0.29,38398.6,11.51,0,0,-0.02,5.28,.,0.93,25193.1
1439,201703,3.66,-6.09,-0.09,-0.1,14630.7,7.51,0.04,8.62,-0.02,21.33,.,0.97,5.73
1440,201703,12.9,2.39,0.28,0.37,100.39,38.66,0.12,2.98,0.07,15.11,33.25,1,1.23
1441,201703,-0.46,-11.88,-2.05,-14.86,84.38,85.33,0.12,2.45,-1.06,7.49,.,1.34,0.4
1442,201703,25.2,17.41,1.97,4.35,368.74,53.66,0.07,7.26,0.78,20.5,6.6,0.99,0.91
1443,201703,7.13,-3.66,-2.56,-15.42,51.69,81.46,0.08,2.23,-0.82,7.65,.,0.79,0.68
1444,201703,8.12,2.2,-0.66,-1.24,109.97,42.32,0.13,2.25,-0.14,11.19,.,0.75,0.82
1445,201703,8.87,1.43,-0.03,-0.04,746.59,13.13,0.17,1.55,-0.01,13.74,22.61,0.67,0.77
1446,201703,9.56,-15.46,-0.69,-1.54,630.85,54.79,0.03,3.74,-0.2,12.8,54.14,1.78,3.86
1447,201703,8.73,4.93,-0.54,-1.41,132.03,54.91,0.2,1.98,-0.17,11.52,.,0.77,0.48
1449,201703,11.49,-1.62,0.06,-2.07,66.58,82.83,0.13,1.62,-0.15,5.39,.,0.99,0.21
1451,201703,7,0.18,0.97,1.28,333.01,27.39,0.19,1.28,0.64,24.5,12.77,1.1,0.86
1452,201703,18.55,12.97,2.29,2.5,1167.6,7.74,0.21,1.76,0.46,18.65,11.36,1.16,1.41
1453,201703,-59.26,-208.04,-0.62,-0.77,523.16,16.9,0,1.09,-0.09,11.02,.,0.73,15.23
1454,201703,9.32,2.96,0.28,0.33,260.41,25.43,0.21,2.1,0.04,12.48,18.61,0.72,0.63
1455,201703,11.15,8.03,2.07,2.82,137.16,36.73,0.35,1.68,0.35,12.75,12.55,0.81,0.44
1456,201703,17.33,2.96,0.15,-0.53,200.76,74.76,0.04,0.72,-0.06,12.05,14.97,1.04,1.12
