stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
3030,201712,54.23,17.88,1.94,2.35,407.86,17.37,0.14,0.51,0.49,21.2,14.74,2.11,2.94
3031,201712,24.51,6.18,1.74,2.14,370.08,18.49,0.13,0.79,0.34,14.57,17.48,1.19,1.65
3032,201712,13.85,2.44,0.68,1.52,140.25,56.59,0.25,0.89,0.33,19.47,11.53,1.99,0.61
3033,201712,5.36,1.84,1.15,3.53,135.18,74.44,0.68,1.81,0.58,16.7,7.37,1.15,0.12
3034,201712,29.37,13.13,3.23,4.71,290.98,30.1,0.29,1.07,2.16,46.95,12.1,2.42,1.47
3035,201712,54.62,3.62,0.59,0.76,330.18,20.27,0.16,1.61,0.17,22.25,49.84,2.6,2.69
3036,201712,4.1,1.81,1.35,3.82,134.13,73.28,0.83,1.92,1.27,36.36,8.68,1.24,0.13
3037,201712,10.73,2.73,1.04,2.08,128.35,55.24,0.18,1.29,0.55,28.25,18.86,0.59,0.38
3038,201712,16.2,2.35,0.85,1.41,255.82,45.76,0.22,1.56,0.17,11.29,58.31,1,0.61
3040,201712,66.11,43.89,0.39,0.42,1490.16,6.29,0.03,31.14,0.13,30.68,34.24,1.55,15.93
3041,201712,29.17,-30.37,-2.84,-3.36,487.74,15.97,0.13,2.45,-0.51,14.88,.,1.17,1.61
3042,201712,23.55,8.78,1.86,2.69,350.63,31.62,0.17,0.86,0.79,29.45,16.33,1.35,1.4
3043,201712,21.47,-1.39,2.08,272.95,67.62,99.76,0.24,1.13,0.11,0.19,.,12.44,0.4
3044,201712,18.93,11.27,1.63,3.7,139.38,56.26,0.18,0.9,2.12,58.4,10.21,1.59,1.07
3045,201712,27.31,13.55,1.86,4.13,57.28,57.6,0.21,2.16,0.9,21.91,20.44,6.17,3.14
3046,201712,36.75,-7.27,-2.06,-5.34,170.54,48.43,0.23,1.68,-0.42,11.01,.,1.5,0.87
3047,201712,23.77,-2.76,-0.97,-3.19,137.47,65.55,0.22,1.17,-0.53,10.66,.,1,0.35
3048,201712,3.18,1.27,1.32,2.93,130.57,77.72,1.36,3.89,0.43,14.66,8.8,1.29,0.06
3049,201712,-0.48,-17.08,1.51,3.23,63.8,58.94,0.03,2.05,0.31,9.77,30.21,0.92,2.44
3050,201712,27.73,-6.43,-0.69,-0.99,308.6,23.46,0.07,1.39,-0.16,15.62,97.78,0.73,2.04
3051,201712,22.42,9.89,-1.03,-7.74,201.7,83.36,0.07,1.02,-0.38,4.68,.,1.21,0.79
3052,201712,26.26,20.64,2.16,6.26,157.46,65.97,0.12,2.19,0.94,14.88,8.6,0.68,0.52
3054,201712,-50.9,-75.46,1.34,1.44,1435.24,4.44,0.05,7.85,0.19,12.98,.,1.45,6.4
3055,201712,23.09,5.08,0.33,0.48,273.3,31.46,0.2,1.46,0.12,25.84,31.31,1.03,0.98
3056,201712,12.19,-194.59,-0.33,-0.66,182.92,52.29,0,4.64,-0.14,21.7,5.26,0.89,1.41
3057,201712,30.51,-37.27,-13.55,-22.43,173.5,43.49,0.17,1.27,-1.99,7.84,.,1.41,0.97
3058,201712,12.84,-2.64,0.04,-0.03,135.4,51.25,0.24,0.91,0,14.35,.,0.63,0.3
3059,201712,13.14,3.17,0.34,0.47,202.53,36.97,0.19,1.23,0.03,32.75,55.43,0.97,0.82
3060,201712,5.07,-3.42,-0.17,-0.34,190.2,41.9,0.27,1.33,-0.04,28.87,.,0.94,0.49
3062,201712,6.96,1.35,0.55,0.82,237.69,30.35,0.33,1.04,0.14,16.91,45.98,1.07,0.65
3090,201712,22.74,13.81,2.74,5.76,196.32,52.72,0.28,0.78,1.07,19.5,9.63,1.82,0.72
3092,201712,23.6,9.87,2.73,5.03,173.64,46.93,0.22,0.62,1.13,23.06,8.1,2.05,1.25
3094,201712,66.92,12.52,0.65,0.69,2016.59,5.19,0.06,1.82,0.1,14.17,38.86,1.83,7.15
3130,201712,88.79,19.75,2.94,4.46,262.72,34.52,0.17,9.5,2,45.96,14.18,3.55,3.51
3138,201712,42.18,9.69,2.26,3.49,228.09,36.11,0.43,1.49,0.52,14.86,8.51,0.93,0.72
3149,201712,2.18,-4.36,-0.06,-0.8,86.92,71.27,0.22,1.22,-0.07,8.18,.,2.36,1
3164,201712,51.27,-11.93,-1.09,-1.2,437.01,8.63,0.08,1.59,-0.18,15.04,66.26,1.53,3.7
3167,201712,27.76,13.78,2.31,6.05,175.9,63.63,0.21,0.56,1.3,21.99,8.77,2.36,1.17
3189,201712,15.79,-1.1,0.04,-0.02,178.16,29.24,0.15,1.62,0.04,62.78,47.56,0.86,1.08
3209,201712,5.16,1.86,1.46,4.92,169.35,76.15,0.68,1.89,0.71,15.66,9.12,1.28,0.1
3229,201712,10.97,-12.17,-1.23,-1.9,314.23,28.37,0.09,0.9,-0.16,8.32,.,2.16,3.59
3231,201712,3.57,0.88,0.75,2.68,106.3,79.67,0.79,2.66,0.6,24.41,8.41,1.01,0.08
3257,201712,44.98,12.91,0.3,0.34,872.47,8.44,0.11,0.77,0.08,23.23,36.63,2.06,4.37
3266,201712,21.55,3.62,0.84,1.38,242.59,41.96,0.05,2.17,0.23,14.4,.,0.78,2.72
3296,201712,17.22,4.57,0.49,0.73,273.22,32.15,0.34,1.07,0.11,15.67,135.44,1,0.54
3305,201712,9.69,1.35,0.33,0.44,225.2,43.5,0.2,0.76,0.14,31.05,23.77,0.87,0.61
3308,201712,13.76,-12.09,-0.88,-2.21,204.51,54.99,0.1,1.35,-0.23,10.42,.,0.82,0.89
3311,201712,14.9,-4.18,-0.01,-0.02,428.27,21.83,0.12,1.12,0,21.2,.,0.93,1.55
3312,201712,4.28,0.56,1.01,2.79,154.14,65.95,0.65,1.12,0.31,11.16,23.46,0.8,0.1
3321,201712,7.66,-3.24,-1.06,-4.69,136.84,74.98,0.22,0.6,-0.52,10.77,.,1.72,0.58
3338,201712,21.42,3.58,-0.43,-1.17,135.95,61.53,0.34,0.73,-0.17,14.18,25.67,2.06,0.67
3346,201712,19.67,9.62,2.78,7.97,177.08,67.27,0.34,0.78,1.59,20.8,15.15,3.37,1.17
3356,201712,35.55,-9.91,-2.61,-4.33,225.43,39.67,0.16,2.13,-0.68,16.74,.,2.33,2.2
3376,201712,25,14.26,0.82,1.09,228.39,25.83,0.13,0.68,0.73,67.16,12.73,1.12,1.55
3380,201712,12.72,0.91,0.51,0.81,240.76,36.65,0.32,1.36,0.16,19.57,17.9,1.22,0.56
3383,201712,-39.06,-78.81,-2.45,-8.81,135.89,70.29,0.06,1.02,-0.38,3.39,.,1.04,0.88
3406,201712,46.79,27.61,4.95,8.1,104.1,40.39,0.22,1.09,5.8,73.58,20.54,3.66,3.36
3413,201712,22.17,12.69,3.85,7.47,167.45,49.02,0.34,1.39,3.31,46.01,13.03,4.54,2.01
3416,201712,34.9,10.93,2.04,2.39,524.42,14.82,0.18,2.71,0.6,29.18,22.41,1.74,2.59
3419,201712,18.97,-25.51,-4.8,-7.04,213.1,31.43,0.21,0.58,-0.91,12.54,.,1.52,1.17
3432,201712,47.28,-34.78,-0.39,-0.53,985.74,13.62,0.02,0.62,-0.11,20.16,.,0.57,3.63
3437,201712,15.16,1.47,0.18,0.31,188.35,41.51,0.27,0.77,0.07,23.29,58.31,1.64,0.93
3443,201712,30.4,11.68,4.68,9.63,179.09,51.21,0.46,4.47,2.77,30.2,34.77,8.44,2.81
3450,201712,31.38,22.35,4.26,5.94,255.21,28.4,0.24,1.24,1.58,28.86,12.24,4.49,2.36
3454,201712,36.01,10.89,2.38,3.53,261.9,32.8,0.38,1.77,1.67,34.04,17.64,2.84,1.36
3481,201712,14.13,7.17,1.11,1.64,120.19,36.29,0.2,1.32,0.43,26.56,2.56,0.47,0.37
3494,201712,11.6,-38.96,-4.85,-8.37,148.38,39.49,0.06,2.07,-0.95,10.38,.,1.02,1.55
3501,201712,27.18,13.1,1.27,1.82,236.57,32.63,0.16,0.8,0.85,47.39,10,1.22,1.37
3504,201712,18.69,1.12,0.08,0.06,204.51,37.25,0.25,2.02,0,29.54,.,1.72,1.3
3515,201712,22.63,6.02,1.32,2.1,264.59,36.52,0.27,1.66,0.98,47.39,14.74,1.45,0.9
3518,201712,2.98,-33.89,-2.53,-3.3,271.96,20.73,0.07,0.49,-0.85,25.61,.,1.38,4.22
3528,201712,11.03,4.38,1.51,2.64,197.25,48.74,0.35,0.95,0.57,22.05,11.17,1.57,0.58
3530,201712,29.63,17.19,6.23,8.3,325.44,23.16,0.41,56.91,1.14,14.36,56.77,13.93,7.93
3532,201712,31.97,26.2,3.02,3.33,568.01,10.58,0.14,1.57,0.92,27.94,28.59,3.45,5.88
3533,201712,31.13,9.49,1.8,2.48,239.93,28.26,0.26,0.72,2,88.64,14.68,2.28,1.8
3535,201712,26.58,3.66,0.24,0.3,157.23,60.68,0.24,0.64,0.03,10.32,.,1.18,0.93
3536,201712,6.26,-2.2,-0.32,-0.93,190.4,50.39,0.28,1.21,-0.08,6.62,203.89,3.32,1.8
3543,201712,12.82,0.3,0.17,0.12,200.77,41.8,0.3,0.88,0.05,41.39,143.21,0.43,0.41
3545,201712,20.44,0.37,-1.78,-2.39,321.29,20.68,0.19,2.02,-0.85,36.71,45.54,0.86,0.86
3550,201712,19.88,6.31,1.17,1.99,264.34,44.94,0.28,0.61,0.47,23.66,9.85,0.98,0.52
3557,201712,-99.8,-637.68,-18.05,-20.19,361.91,11.72,0.02,0.16,-1.59,7.09,.,1.52,16.22
3563,201712,68.49,46.46,10.97,14.97,318.47,27.58,0.3,0.81,4.6,31.47,16.05,6.55,6.18
3576,201712,-4.95,-20.2,-1.42,-5.04,75.38,66.89,0.1,2.15,-0.58,10.87,.,1.27,1.37
3583,201712,34.83,15.23,4.4,6.82,236.14,35.67,0.32,1.45,1.87,28.28,16.55,2.99,1.94
3588,201712,35.66,3.22,0.13,0.16,406.07,18.56,0.16,1.56,0.04,27.43,31.07,0.96,1.22
3591,201712,12.69,-4.89,-2.6,-3.36,232.09,23.34,0.16,1.22,-0.83,24.55,.,0.67,0.78
3592,201712,22.82,6.01,3.75,6,221.08,41.03,0.75,2.06,3.65,59.27,8.99,1.06,0.43
3593,201712,15.91,4.78,0.91,1.18,72.49,61.28,0.15,0.76,0.07,5.9,240,2.08,1.63
3596,201712,13.49,3.93,1.01,1.76,202,42.73,0.34,1.11,0.7,44.96,9.79,1.15,0.49
3605,201712,17.06,-1.38,-0.09,-0.31,158.66,47.2,0.19,0.93,-0.06,32.81,62.11,0.77,0.54
3607,201712,7.34,-2.91,-1.22,-2.27,202.81,43.77,0.23,1.19,-0.9,41.94,.,0.8,0.67
3617,201712,41.82,8.49,1.11,2.21,153.99,53.22,0.23,1.34,1.14,52.45,10.22,1.9,1.03
3622,201712,14.1,-15,0.31,0.35,692.86,9.3,0.04,1.37,0.07,26.87,33.66,0.76,3.45
3645,201712,30.38,18.09,2.15,3.27,173.34,36.16,0.16,1.07,0.64,18.46,29.96,4.55,5.36
3653,201712,21.25,6.18,0.55,0.69,315.98,22.13,0.17,0.94,0.28,40.77,26.26,1.64,1.94
3661,201712,49.32,12.64,2.53,3,651.3,12.88,0.23,1.2,1.32,44.5,15.06,2.03,1.29
3665,201712,22.41,9.86,2.89,5.11,173.64,44.87,0.39,1.19,3.27,65.71,22.08,4.35,2.12
3669,201712,49.42,-3.55,-0.61,-0.71,405.7,13.16,0.17,2,-0.19,26.08,34.7,0.79,0.98
3673,201712,6.72,2.18,0.85,1.66,111.96,55.2,0.39,5.32,1.45,90.86,15.89,0.92,0.32
3679,201712,22.74,13.44,1.26,2.14,377.92,43.59,0.13,0.76,1.19,56.03,11.94,1.33,1.47
3682,201712,7.81,-37.5,-4.76,-5.49,122.71,14.45,0.1,2.16,-0.41,7.21,.,1.38,3.13
3686,201712,-39.41,-43.9,-4.26,-4.68,332.29,8.6,0.1,5.3,-0.41,8.53,.,0.8,2.52
3694,201712,11.3,0.39,0.16,0.17,117.77,56.7,0.44,1.27,0.02,12.07,55.97,1.39,0.36
3701,201712,8.53,-6.91,-0.64,-1.73,171.73,55.87,0.23,1.06,-0.1,5.01,.,1.42,0.35
3702,201712,3.9,1.89,1.14,3.2,138.67,70.86,0.75,1.48,0.9,28.23,8.03,1.4,0.14
3703,201712,13.16,9.45,-0.78,-2.28,148.39,63.57,0.15,1.82,-0.65,26.88,.,0.6,0.47
3704,201712,22.21,-4.57,-1.35,-2.53,187.69,44.6,0.34,1.04,-0.47,18.33,.,0.85,0.35
3705,201712,40.35,5.4,0.95,1.51,116.34,45.34,0.17,1.07,0.41,22.08,17.84,1.81,1.61
3706,201712,12.29,0.88,1.41,1.95,175.93,26.36,0.23,1.88,0.84,43.5,10.17,0.84,0.6
3708,201712,16.47,7.53,1.09,1.66,237.11,41.1,0.2,0.62,0.72,44.32,32.54,1.91,1.54
4104,201712,18.73,5.42,0.74,1.3,164.39,46.33,0.11,0.97,0.64,50.2,10.12,0.89,0.94
4106,201712,41.49,1.4,0.85,1.25,190.29,37.77,0.2,1.52,0.24,19.26,16.44,1.55,1.2
4108,201712,67.39,-649.88,-4.66,-4.9,1823.31,5.23,0.01,1.51,-0.57,10.27,.,2.26,70.45
4119,201712,33.15,21.49,1.81,2.04,390.35,11.1,0.1,1.49,0.74,36.86,19.76,1.56,3.51
4133,201712,45.07,10.04,1.01,1.09,1117.58,6.06,0.08,1.18,0.22,20.23,34.31,1.94,5.01
4137,201712,81.11,22.83,3.5,5.33,220.38,35.42,0.2,367.24,2.29,44.24,14.36,3.44,3.64
4142,201712,-35.6,-87.52,-5.27,-12.65,333.57,59.11,0.04,1.81,-1.31,8.97,.,2.28,8.53
4148,201712,32.17,15.11,3.17,3.69,738.57,12.73,0.2,0.96,1.03,31.84,20.66,4.04,3.63
4155,201712,26.42,7.91,1.63,2.57,183.78,35.99,0.15,1.15,0.38,16.46,14.2,1.92,1.88
4164,201712,31.97,19.42,-1.79,-4.19,168.65,53.61,0.06,0.84,-1.44,35.12,19.1,1.01,2.35
4190,201712,70.78,6.32,0.79,2.7,47.4,71.18,0.13,3.75,0.64,23.94,14.46,2.34,1.48
4306,201712,17.01,8.48,1.34,3.75,124.21,74.19,0.16,1.87,0.74,17.61,15.12,0.9,0.41
4414,201712,8.05,-5.23,-0.74,-2.11,141.88,47.26,0.19,1.69,-0.34,16.29,.,1.14,1.51
4426,201712,27.35,13.79,0.83,1.2,166.18,38.48,0.09,1.33,0.24,19.89,23.55,2.44,3.58
4438,201712,7.24,-1.09,-0.12,-0.33,290.08,24.34,0.27,1.16,-0.29,61.19,19.83,2.14,1.33
4526,201712,18.48,-5.78,-0.6,-2.18,125.59,67.73,0.16,0.64,-0.5,19.9,.,1.02,0.53
4532,201712,15.4,7.78,1.28,2.96,137.86,60.92,0.22,0.59,0.53,16.04,10.09,1.79,0.71
4536,201712,23.44,5.33,1.21,1.86,157.96,48.82,0.18,1.15,1.07,50.06,15.15,1.79,1.29
4540,201712,32.79,20.33,3.28,7.31,167.76,56.27,0.21,1.22,1.42,20.17,14.97,2.34,1.49
4545,201712,19.86,8.58,1.86,2.94,253.53,34.83,0.27,1.1,0.69,23.72,86.11,1.86,1.38
4551,201712,33.15,18.91,3.19,6.08,97.16,50.23,0.21,0.93,2.09,35.49,16.4,4.65,3.34
4552,201712,21.82,15.76,3.74,4.81,579.37,21.73,0.34,2.24,2.31,49.29,7.18,2.02,1.23
4555,201712,38.5,10.62,1.07,1.37,271.4,25.56,0.11,1,0.52,39.29,22.87,1.73,3.09
4557,201712,32.39,14.16,2.21,2.9,256.66,25.5,0.21,0.7,1.01,36.24,11.35,1.99,1.82
4560,201712,41.03,21.92,3.03,4.14,282.78,28.57,0.2,0.65,0.91,22.45,10.63,2.13,2.27
4562,201712,38.68,17.4,1.9,4.05,193.38,55.74,0.15,0.72,0.74,18.66,15.09,2.2,1.84
4564,201712,26.04,17.39,1.39,2.28,152.99,45.46,0.1,1.59,0.48,21.32,13.23,1.16,1.89
4566,201712,23.17,7.83,1.15,2.61,133.7,59.1,0.21,0.93,0.71,27.63,16.48,2.81,1.39
4572,201712,49.21,36.53,6.93,9.01,629.44,24.52,0.23,2.97,2.88,39,.,.,.
4576,201712,34.61,7.3,2.48,4.72,155.95,51.64,0.33,2.96,0.91,20.67,.,.,.
4720,201712,19.53,2.02,0.3,0.47,177.7,52.68,0.29,1.37,0.04,12.35,20.41,1.17,0.45
4722,201712,15.79,7.04,1.89,2.87,192.39,35.8,0.36,1.02,0.7,24.58,9.58,1.41,0.67
4737,201712,47.03,16.32,1.18,2.3,95.51,52.51,0.13,1.15,0.82,36.17,13.23,1.59,1.81
4739,201712,16.55,12.31,2.28,3.85,165.69,43.18,0.23,1.86,1.45,34.45,18.63,3.46,1.99
4746,201712,31.62,7.87,0.42,0.62,108.59,43.37,0.09,0.89,0.31,43.21,21.67,1.6,2.53
4755,201712,19.39,11.95,2.38,3.14,215.64,24.29,0.27,0.94,1.01,32.72,10.85,1.8,1.34
4763,201712,20.63,8.13,3.06,5.14,268.48,43.58,0.25,1.8,1.46,27.16,43.73,6.39,4.61
4764,201712,24.08,10.76,1.91,3.09,228.23,38.48,0.35,1.05,0.85,28.55,10.31,2.8,1.23
4766,201712,24.69,5.64,1.43,2.59,224.93,46.6,0.25,1.16,1.76,68.65,12.87,2.05,1.04
4807,201712,28.87,15.2,3.54,4.87,295.32,30.37,0.35,2.33,0.73,26.01,6.18,1.96,0.91
4904,201712,33.26,11.76,1.81,3.22,86.48,46.92,0.19,3.14,0.69,21.41,17.21,3.43,2.6
4906,201712,9.64,-4.23,-0.54,-0.91,164.46,36.97,0.22,0.93,-0.27,29.6,.,0.87,0.61
4912,201712,20.11,8,2.28,5.85,112.32,65.66,0.29,0.76,2.22,37.3,14.01,3.75,1.3
4915,201712,11.04,2.5,1.59,4.5,126.07,65.63,0.51,1.5,1.25,25.55,13.99,3.09,0.58
4916,201712,24.58,1.03,-0.36,-1.08,138.79,57.95,0.22,1.02,-0.5,15.27,17.89,2.38,0.52
4919,201712,39.92,6.77,2.38,4,223.89,40.43,0.38,2.76,0.7,17.65,16.74,3.63,1.44
4927,201712,9.83,-0.26,0.23,0.07,100.52,60.79,0.22,0.8,0.02,30.3,23.95,0.66,0.28
4930,201712,14.75,-3.28,1.55,2.9,192.94,47.83,0.24,1.88,0.07,30.44,7.72,0.43,0.15
4934,201712,0.01,-4.05,-3.47,-5.86,148.51,41.82,0.26,1.83,-0.72,11.93,.,1.09,0.77
4935,201712,13.54,3.45,0.42,0.56,279.72,31.22,0.17,0.81,0.26,46.18,20.44,0.98,1.01
4938,201712,3.19,1.23,0.82,2.23,135.72,63.19,0.73,2.21,1.42,55.85,9.3,1.29,0.16
4942,201712,18.08,4.08,0.94,1.31,280.81,29.99,0.19,0.65,0.61,46.49,9.54,0.5,0.52
4943,201712,46.5,34.85,7.81,15.12,219.4,48.21,0.28,0.71,4.88,34.83,26.32,10.21,7.22
4952,201712,36.1,12.71,2.72,3.76,332.57,26.85,0.24,1.09,0.72,19.66,13.97,2.74,1.86
4956,201712,23.86,5.16,0.34,0.49,416.21,31.22,0.09,0.39,0.1,20.59,29.57,1.06,1.77
4958,201712,18.05,11.42,3.33,7.72,147.46,55.33,0.37,1.6,3.63,55.1,6.17,1.19,0.48
4960,201712,-3.1,-13.36,-1.39,-2.62,112.95,43.38,0.11,0.78,-0.31,17.04,.,0.71,0.82
4961,201712,20.61,2.59,0.61,1.05,178.14,52.47,0.37,1.08,0.21,18.61,20.26,1.46,0.54
4967,201712,8.41,3.09,2.39,5.26,167.44,55.74,1.08,3.73,0.81,15.79,3.38,1.23,0.14
4968,201712,32.18,10.05,3.71,5.96,242.83,38.25,0.45,1.13,1.07,18.52,29.59,4.72,1.8
4976,201712,13.08,2.03,0.25,0.28,375.55,32.57,0.16,1.28,0.04,14.44,.,2.54,2.83
4977,201712,26.61,13.27,5.25,7.57,324.72,27.47,0.23,1.62,1.95,28.19,20.55,4.17,3.44
4989,201712,20.33,16.08,5.1,6.04,489.67,16.41,0.39,1.98,0.9,15.37,6.54,2.18,1.24
4994,201712,83.93,-39.87,-5.91,-6.96,585.17,16.09,0.11,2.08,-0.84,11.58,.,4.56,6.78
4999,201712,37.62,25.65,3.46,4.43,340.92,23.21,0.18,0.64,1.81,41.74,7.4,1.22,1.48
5007,201712,24.19,17.97,3.58,4.6,326.06,22.71,0.23,1.3,0.95,20.79,12.38,2.84,2.4
5203,201712,90.45,36.18,1.4,1.87,384.65,25.2,0.09,8.29,0.82,44.2,16.09,1.52,3.42
5215,201712,22.37,10.17,1.11,1.43,307.74,25.05,0.19,0.67,0.55,32.16,24.72,0.82,0.89
5222,201712,42.99,18.02,5.55,8.11,237.31,34.32,0.46,5.24,0.77,10.26,36.99,6.14,5.48
5225,201712,10.44,-0.01,2.17,6.69,113.68,67.34,0.44,1.21,1.62,25.02,180.95,1.19,0.24
5234,201712,32.81,16.14,4.42,6.61,194.06,33.35,0.31,0.79,1.59,24.81,11.84,2.73,1.62
5243,201712,14.62,5.34,1.18,1.9,179.09,39.72,0.31,1.11,0.65,34.07,15.25,1.33,0.72
5244,201712,39.51,13.89,5.11,7,296.97,24.88,0.38,1.66,1.05,15.47,5.21,0.65,0.73
5258,201712,28.44,9.48,2.48,4.8,175.93,52.24,0.3,0.7,0.73,19.99,16.15,1.25,0.71
5269,201712,45.49,23.74,5.7,7.3,363.7,24.35,0.3,1.42,2.04,29.03,43.4,12.54,7.35
5283,201712,39.96,8.26,1.73,2.77,239.19,33.78,0.25,1.28,1.12,41.09,5.97,2.21,1.07
5284,201712,34.77,16.95,2.03,2.72,230.78,29.03,0.16,1.15,1.02,38.13,11.53,1.68,1.96
5285,201712,20.16,12.43,3.22,6.23,181.72,50.11,0.32,1.18,1.49,24.95,21.76,3.87,2.14
5288,201712,17.49,11.83,4.43,5.68,335.6,23.15,0.32,1.93,2.17,39.04,9.3,2.18,1.38
5306,201712,38.17,22.33,2.73,5.68,162.18,52.45,0.14,1.44,2.2,39.9,12.12,3.26,3.09
5388,201712,13.04,4.28,1.59,5.36,118.22,70.82,0.43,1.44,1.53,29.52,13.03,2.87,0.54
5434,201712,12.08,5.27,1.39,2.9,151.69,49.02,0.42,1.67,1.11,41.67,11.03,1.94,0.62
5469,201712,15.3,5.63,0.97,2.03,151.93,59.01,0.19,0.8,0.76,34.67,7.35,0.62,0.25
5471,201712,38.59,6.93,1.11,1.34,537.14,17.67,0.22,1.76,0.23,17.47,20.49,2.09,1.84
5484,201712,17.99,-32.8,-3.55,-4.35,422.04,16.77,0.1,1.56,-0.34,7.63,.,0.65,1.01
5515,201712,12.19,6.42,0.98,1.76,225.45,50.69,0.21,0.83,0.25,14.64,15.47,0.79,0.68
5519,201712,18.05,9.59,1.19,3.05,311.87,60.04,0.06,1.47,0.52,17.39,9.46,0.6,0.96
5521,201712,-48.47,-53.33,-4.42,-9.02,175.73,52.47,0.1,0.69,-1.08,10.96,.,1.49,1.51
5522,201712,19.85,9.11,0.5,0.9,194.09,51.09,0.06,5.95,0.45,50.71,10.95,0.63,1.44
5525,201712,44.51,31.61,2.49,6.66,128.68,62.04,0.08,2.65,1.21,17.88,12.57,0.92,2.4
5531,201712,35.91,22.14,2.01,5.9,194.72,67.83,0.08,81.43,0.75,12.44,16.37,0.86,2.02
5533,201712,17.45,12.56,1.51,2.65,301.39,46.57,0.14,80.28,0.68,25.94,11.77,0.61,1.07
5534,201712,42.39,40.24,4.27,9.42,210.6,53.94,0.1,2.05,4.28,47.09,6.81,1.63,3.19
5538,201712,19.15,12.74,4.02,6.42,206.49,42.61,0.34,1.49,1.42,22.79,6.98,1.57,0.79
5607,201712,45.1,16.69,1.23,1.77,46.17,36.8,0.06,3.25,0.35,21.28,9.89,0.79,1.94
5608,201712,6.8,-2.53,-3.71,-19.32,30.5,80.34,0.03,19.3,-2.71,11.87,.,0.77,1.11
5706,201712,13.99,4.16,1.2,2.09,198.32,42.54,0.32,4.82,0.39,18.05,11.87,2.05,0.79
5871,201712,61.43,31.9,0.85,5.41,118.12,82.85,0.04,0.05,2.08,42.45,8.19,2.04,2.64
5906,201712,60.93,9.03,4.27,12.37,124.87,67.52,0.49,3.14,0.67,5.71,213.62,1.4,0.31
5907,201712,80.96,21.68,2.13,4.3,93.36,55.67,0.09,8.61,2.17,51.52,9.59,0.47,0.75
6108,201712,14.06,3.64,0.52,0.92,127.21,65.88,0.21,0.8,0.21,22.8,11.43,1.24,0.52
6112,201712,9.8,4.11,1.7,4.33,144.08,61.54,0.45,1.44,0.87,20.42,7.84,1.44,0.29
6115,201712,14.56,8.83,1.04,1.61,234.91,38.53,0.23,0.83,0.43,26.82,13.27,1.63,1.17
6116,201712,30.72,19.52,3.44,4.04,309.81,15.38,0.13,2.83,0.52,13.06,5.07,0.76,1.35
6117,201712,11.13,-16.58,14.03,29.3,160.21,47.34,0.16,1.35,5.05,19.56,4.11,0.92,0.83
6120,201712,6.4,0.17,0.23,0.42,190.69,49.2,0.25,1.02,0.08,18.05,74.95,2.05,0.88
6128,201712,40.75,2.63,6.73,17.84,115.21,63.16,0.08,1.45,3.65,22.25,24.26,1.77,2.05
6133,201712,36.69,5.48,0.43,0.51,305.12,19.52,0.14,0.94,0.07,13.16,34.34,0.79,1.04
6136,201712,28.23,-1.59,0.97,1.01,1093.21,4.01,0.05,1.84,0.25,25.52,28.07,0.94,3.91
6139,201712,9.98,5.4,1.06,2.28,171.16,57.88,0.2,1.09,0.9,33.65,8.3,1.01,0.36
6141,201712,13.42,4.61,1.31,2.74,94.71,60.57,0.24,0.76,0.37,13.78,8.06,1.26,0.59
6142,201712,9.53,-11.44,-1.52,-2.37,210.62,34.5,0.17,1.32,-0.26,10.79,.,0.73,0.64
6152,201712,6.13,-6.65,-2.12,-6.86,122.02,67.16,0.34,0.9,-0.82,11.68,.,0.76,0.18
6153,201712,13.27,1.18,0.27,0.48,121.16,55.29,0.24,0.93,0.11,23.21,179.2,1.73,1
6155,201712,23.41,7.34,0.17,0.16,182.47,37.22,0.08,0.82,0.03,15.8,51.93,1.25,2.44
6164,201712,29.52,-1.59,-0.18,-0.39,217.38,37.64,0.13,0.86,-0.05,12.45,18.21,1.05,1.05
6165,201712,1.22,-280.11,-2.29,-2.39,1513.34,3.83,0.01,0.43,-0.21,8.75,.,3.89,66.62
6166,201712,35.1,3.43,1.01,1.72,182.69,40.69,0.33,1.55,0.36,21.23,27.03,3.02,1.3
6168,201712,23.06,9.7,1.35,1.87,322.53,29.19,0.2,0.86,0.22,13.56,16.34,1.46,1.34
6172,201712,1.59,1.08,0.49,0.68,285.43,52.75,0.14,1.55,0.07,10,.,1,1.07
6176,201712,14.11,8.65,1.6,3.46,162.43,54.59,0.28,1.13,1.71,50.18,7.95,1.41,0.6
6177,201712,31.47,21.48,2.4,7.25,211.29,68.4,0.12,36.76,1.39,19.88,6.93,1.76,1.45
6183,201712,38.89,12.03,1.72,2.15,343.66,21.79,0.16,1.34,0.29,14,15.84,2.23,3.33
6184,201712,57.87,39.22,1.81,3.14,238.22,46.04,0.05,2.74,0.93,28.48,12.55,1.28,2.89
6189,201712,8.98,3.64,1.57,3.26,184.35,53.19,0.58,1.52,0.61,19.61,10.32,1.43,0.27
6191,201712,14.76,5.27,0.92,1.77,160.71,55.34,0.21,0.8,0.39,22.83,11.09,0.6,0.34
6192,201712,31,16.38,2.56,4,274.29,35.96,0.21,1.14,1.58,40.08,8.97,1.39,1.29
6196,201712,12.52,5.34,1.65,4.77,131.53,67.99,0.37,1.42,1.35,29.07,8.81,1.34,0.34
